Folder,Character,Count
train,0,1516
train,1,4089
train,2,2033
train,3,1748
train,4,1896
train,5,1901
train,6,1535
train,7,1741
train,8,1498
train,9,1214
train,A,4824
train,B,4365
train,C,262
train,D,551
train,E,406
train,F,660
train,G,513
train,H,494
train,I,334
train,J,524
train,K,419
train,L,446
train,M,433
train,N,422
train,O,277
train,P,290
train,Q,293
train,R,475
train,S,442
train,T,257
train,U,427
train,V,316
train,W,176
train,X,494
train,Y,425
train,Z,285
test,0,208
test,1,559
test,2,221
test,3,215
test,4,240
test,5,245
test,6,171
test,7,220
test,8,175
test,9,142
test,A,573
test,B,537
test,C,39
test,D,93
test,E,39
test,F,94
test,G,61
test,H,71
test,I,44
test,J,77
test,K,42
test,L,56
test,M,51
test,N,49
test,O,34
test,P,34
test,Q,30
test,R,56
test,S,72
test,T,38
test,U,50
test,V,45
test,W,20
test,X,58
test,Y,61
test,Z,35
val,0,214
val,1,525
val,2,264
val,3,212
val,4,230
val,5,239
val,6,194
val,7,201
val,8,188
val,9,133
val,A,585
val,B,538
val,C,34
val,D,70
val,E,56
val,F,76
val,G,68
val,H,48
val,I,48
val,J,60
val,K,66
val,L,52
val,M,54
val,N,48
val,O,36
val,P,36
val,Q,35
val,R,65
val,S,64
val,T,43
val,U,58
val,V,49
val,W,34
val,X,44
val,Y,56
val,Z,48

Total,,
Total,0,1938
Total,1,5173
Total,2,2518
Total,3,2175
Total,4,2366
Total,5,2385
Total,6,1900
Total,7,2162
Total,8,1861
Total,9,1489
Total,A,5982
Total,B,5440
Total,C,335
Total,D,714
Total,E,501
Total,F,830
Total,G,642
Total,H,613
Total,I,426
Total,J,661
Total,K,527
Total,L,554
Total,M,538
Total,N,519
Total,O,347
Total,P,360
Total,Q,358
Total,R,596
Total,S,578
Total,T,338
Total,U,535
Total,V,410
Total,W,230
Total,X,596
Total,Y,542
Total,Z,368
