Frame,FPS_Pipeline,FPS_Detection_Recognition
1,66.23038418418102,0
2,2211.019504480759,0
3,2788.7659574468084,0
4,1915.207305936073,0
5,2058.0490677134444,0
6,1532.4457435147972,0
7,2654.6227848101266,0
8,2442.8095515433897,0
9,2064.1259842519685,0
10,0.7711601846899578,0.7713574576253107
11,1156.411359250069,0
12,1086.0445365095804,0
13,1825.9921636917718,0
14,1680.4102564102564,0
15,1293.739666872301,0
16,3034.9522431259043,0
17,4132.31921182266,0
18,2692.1078305519895,0
19,1847.711013215859,0
20,83.71028839437182,87.78000083713532
21,2394.009132420091,0
22,1894.4462511291779,0
23,2548.1798298906438,0
24,4194.304,0
25,1861.652907234798,0
26,1392.531208499336,0
27,1791.6719350704827,0
28,1691.9338442920532,0
29,3609.555938037866,0
30,130.55792815787837,136.23177861504482
31,3600.2609442060084,0
32,4271.185336048879,0
33,3057.072886297376,0
34,2845.5251017639075,0
35,1860.8269742679681,0
36,1875.8067978533095,0
37,1815.7160173160173,0
38,1812.5773552290407,0
39,1720.3872026251026,0
40,69.82011885539261,72.56330230787862
41,2839.7454299255246,0
42,2962.0790960451977,0
43,3113.81143281366,0
44,4068.1901066925316,0
45,1721.0931473122691,0
46,1310.3105279600125,0
47,1608.862293824319,0
48,1542.5906583302685,0
49,1804.777969018933,0
50,115.4819383259912,123.38728561762716
51,3971.878787878788,0
52,3302.6015748031496,0
53,4999.170441001192,0
54,5146.38527607362,0
55,1864.9639839928857,0
56,1743.2684954280965,0
57,1812.5773552290407,0
58,1369.7922926192032,0
59,1647.4092694422625,0
60,116.96330172894591,124.63017769061626
61,2966.2687411598304,0
62,5216.796019900497,0
63,5071.7097944377265,0
64,5315.974651457541,0
65,1770.4955677501055,0
66,1866.623943035158,0
67,1710.5644371941273,0
68,1781.7774001699236,0
69,1041.5455674199156,0
70,108.13684997550726,115.66026913743657
71,2995.9314285714286,0
72,3204.2047364400305,0
73,2941.3071528751752,0
74,1805.554885923375,0
75,1781.7774001699236,0
76,1818.865568083261,0
77,1742.5442459493145,0
78,1869.1194295900177,0
79,4364.520291363164,0
80,92.42219382133885,95.78004612819986
81,2040.0311284046693,0
82,1801.6769759450171,0
83,1763.0533837746952,0
84,1761.572448551029,0
85,1832.3739624290083,0
86,1796.2758029978586,0
87,1854.2458001768346,0
88,1825.9921636917718,0
89,1880.0107575078441,0
90,107.72579940927186,114.27375762859634
91,1881.697622252131,0
92,1343.8974687600128,0
93,2581.110153846154,0
94,1853.4264250994256,0
95,1833.1748251748252,0
96,1886.7764282501125,0
97,1851.7898454746137,0
98,1823.6104347826088,0
99,4410.414300736067,0
100,130.834861812964,135.40933010492333
101,3869.2841328413283,0
102,4262.504065040651,0
103,1366.6679700228087,0
104,1871.6215975011155,0
105,1860.8269742679681,0
106,1836.385288966725,0
107,2605.1577639751554,0
108,1766.0227368421054,0
109,1835.5816192560176,0
110,110.93694456199746,118.15606513042988
111,2721.8066190785203,0
112,3134.7563527653215,0
113,4002.1984732824426,0
114,1841.2221246707638,0
115,1384.2587458745875,0
116,1807.1107281344248,0
117,1707.7785016286646,0
118,1794.7385537013265,0
119,1867.4550311665182,0
120,117.47105447416328,125.52910543800317
121,2359.001124859393,0
122,4301.850256410256,0
123,1852.60777385159,0
124,1812.5773552290407,0
125,1856.7082779991147,0
126,1850.1561535068372,0
127,1421.3161640121994,0
128,1880.8538116591928,0
129,1833.1748251748252,0
130,87.31402876949018,91.76301741489455
131,3715.0611160318867,0
132,3204.2047364400305,0
133,4481.0940170940175,0
134,4777.111617312073,0
135,3754.9722470904208,0
136,3512.817420435511,0
137,3410.0032520325203,0
138,2302.032930845225,0
139,4702.134529147982,0
140,144.1292051819525,149.63624687834462
141,2964.172438162544,0
142,3090.865143699337,0
143,1751.2751565762005,0
144,1923.1104997707473,0
145,1856.7082779991147,0
146,1838.8005260850505,0
147,1886.7764282501125,0
148,1890.1775574583146,0
149,1910.8446469248292,0
150,80.39531540511013,85.12550738756292
151,3705.21554770318,0
152,1948.1207617278217,0
153,1954.475302889096,0
154,4519.724137931034,0
155,4433.725158562368,0
156,3218.9593246354566,0
157,3597.173241852487,0
158,3460.6468646864687,0
159,3264.049805447471,0
160,127.83225137911066,133.22863858712915
161,1425.6641740312712,0
162,4088.01559454191,0
