iteration,train_loss,valid_loss,accuracy,norm_ED
1,5.06271,5.31626,0.166,0.18
5,2.96231,2.48232,1.997,0.47
10,1.9832,1.91365,2.163,0.55
15,1.80013,1.68876,5.824,0.59
20,1.57315,2.91815,0.333,0.38
25,0.95753,1.00069,19.967,0.74
30,0.7669,0.93888,29.118,0.75
35,0.79732,1.25568,18.802,0.72
40,0.79005,0.78395,28.286,0.79
45,0.66427,1.38611,18.469,0.74
50,0.72574,0.87623,31.448,0.79
55,0.75412,0.75544,34.443,0.81
60,0.47392,0.56788,41.098,0.85
65,0.45702,0.53234,47.255,0.87
70,0.45461,0.5871,40.932,0.85
75,0.4312,0.53659,46.922,0.86
80,0.4607,0.69385,37.77,0.84
85,0.51535,0.51999,47.088,0.87
90,0.45698,0.54062,52.912,0.88
95,0.34702,0.47361,51.414,0.88
100,0.32718,0.43468,50.582,0.88
105,0.43092,0.53101,44.925,0.85
110,0.38739,0.44062,53.577,0.89
115,0.35244,0.52179,51.581,0.88
120,0.48588,0.3891,57.737,0.9
125,0.30643,0.37747,59.401,0.91
130,0.14327,0.36094,61.231,0.91
135,0.23247,0.38036,57.571,0.91
140,0.35254,0.38591,55.408,0.91
145,0.25131,0.36183,60.067,0.91
150,0.23436,0.36978,58.735,0.91
155,0.32959,0.41616,58.902,0.91
160,0.32673,0.35868,62.562,0.92
165,0.29143,0.33267,64.226,0.93
170,0.20801,0.36532,59.9,0.92
175,0.21302,0.30605,65.391,0.93
180,0.20465,0.34059,61.398,0.92
185,0.17713,0.32765,65.89,0.93
190,0.38431,0.38701,59.9,0.92
195,0.32645,0.36703,61.231,0.92
200,0.251,0.37758,56.406,0.91
205,0.1371,0.31727,67.388,0.93
210,0.22305,0.31662,64.559,0.93
215,0.19114,0.31258,66.722,0.94
220,0.1426,0.30633,71.547,0.94
225,0.14948,0.33809,66.389,0.93
230,0.28219,0.31795,66.223,0.93
235,0.20718,0.27736,68.552,0.94
240,0.19162,0.29295,75.707,0.95
245,0.13605,0.31069,71.714,0.94
250,0.38986,0.38944,67.887,0.93
255,0.18906,0.38546,70.383,0.94
260,0.22331,0.2669,72.047,0.95
265,0.23842,0.2513,71.381,0.94
270,0.12033,0.22793,76.206,0.95
275,0.17013,0.28924,71.048,0.94
280,0.18534,0.2685,66.889,0.94
285,0.15795,0.27628,68.053,0.94
290,0.21935,0.29723,70.05,0.94
295,0.27676,0.5128,72.379,0.94
300,0.32761,0.22217,75.541,0.95
305,0.1835,0.23981,73.71,0.95
310,0.13984,0.28562,69.551,0.94
315,0.1031,0.24539,71.88,0.95
320,0.10949,0.27341,69.884,0.94
325,0.13901,0.24378,73.71,0.95
330,0.16289,0.23672,76.04,0.95
335,0.10602,0.25144,72.213,0.95
340,0.1551,0.23593,74.542,0.95
345,0.11931,0.25797,73.71,0.95
350,0.19891,0.24406,76.206,0.96
355,0.20174,0.23929,76.539,0.95
360,0.11088,0.24382,78.037,0.95
365,0.10559,0.23607,76.705,0.95
370,0.14587,0.25029,75.042,0.95
375,0.11133,0.21401,76.705,0.96
380,0.13817,0.22255,76.373,0.95
385,0.15312,0.21788,78.037,0.96
390,0.14507,0.21162,76.705,0.96
395,0.21568,0.2166,76.705,0.96
400,0.11814,0.23121,72.213,0.95
405,0.088,0.21759,76.04,0.96
410,0.13321,0.23278,72.546,0.95
415,0.12297,0.23485,73.877,0.95
420,0.1297,0.22074,76.872,0.96
425,0.09893,0.20653,78.037,0.96
430,0.15651,0.21423,73.71,0.95
435,0.08435,0.20966,75.042,0.96
440,0.13168,0.20705,77.205,0.96
445,0.08269,0.19988,79.534,0.96
450,0.13167,0.2138,76.705,0.96
455,0.10345,0.2026,78.536,0.96
460,0.16311,0.18673,79.201,0.96
465,0.1031,0.21757,75.707,0.95
470,0.28236,0.21112,74.875,0.95
475,0.14933,0.21115,75.541,0.95
480,0.08626,0.19891,78.536,0.96
485,0.08678,0.19137,80.532,0.96
490,0.18063,0.59114,62.895,0.93
495,0.13863,0.19781,77.87,0.96
500,0.1171,0.19854,79.867,0.96
505,0.0767,0.22414,78.702,0.96
510,0.22783,0.24203,71.88,0.95
515,0.19159,0.23143,75.208,0.95
520,0.19049,0.2042,77.038,0.96
525,0.07728,0.18858,80.2,0.96
530,0.07937,0.18699,81.032,0.97
535,0.16763,0.18469,79.534,0.96
540,0.08888,0.19145,78.037,0.96
545,0.16942,0.20166,76.373,0.96
550,0.0483,0.213,76.373,0.96
555,0.10462,0.19527,77.87,0.96
560,0.22655,0.21594,77.704,0.96
565,0.08954,0.19266,80.2,0.96
